web-scraper-order,web-scraper-start-url,footballers,,,appearances,goals,assists,yellow cards,second yellows,red cards,starting lineup percentage,minutes played percentage,goal participation percentage
1653101558-547,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Wissam Ben Yedder,,,36,24,5,3,-,-,76,74,46
1653101354-471,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Ben Kennedy,,,5,2,-,1,-,-,100,96,15
1653101622-572,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Martin Ádám,,,32,31,4,6,-,-,88,82,47
1653101297-450,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,João Amaral,,,31,13,8,2,-,-,82,76,32
1653101143-393,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Gianluca Caprari,,,34,12,7,4,-,-,91,85,32
1653101155-398,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Jakub Kadak,,,4,3,1,-,-,-,33,32,17
1653100986-336,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Amine Gouiri,,,37,10,8,3,-,-,84,80,37
1653101244-430,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Jesús Jiménez,,,12,7,1,1,-,-,100,95,50
1653101145-394,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Alfredo Morelos,,,1,-,-,-,-,-,25,12,0
1653101022-349,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Max Kruse,,,30,12,6,1,-,-,88,79,33
1653101012-345,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Artem Dzyuba,,,27,11,7,-,-,-,59,58,27
1653101405-491,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Gaëtan Laborde,,,37,15,8,2,-,-,95,91,27
1653101485-518,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Cody Gakpo,,,26,12,13,-,-,-,65,62,29
1653101284-445,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,István Bognár,,,3,-,-,-,-,-,60,44,0
1653101396-487,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Edin Visca,,,35,9,14,3,-,-,86,87,38
1653101138-391,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Caio Lucas,,,18,12,7,8,-,-,67,68,44
1653101127-387,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Kerem Aktürkoglu,,,37,10,9,5,-,-,87,84,37
1653101619-571,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Deniz Undav,,,5,1,3,1,-,-,100,100,80
1653101211-418,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Greg Stewart,,,19,10,10,5,-,-,90,88,48
1653101531-536,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Taisei Marukawa,,,32,17,10,2,-,-,88,90,48
1653101629-575,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Karim Benzema,,,31,27,12,-,-,-,79,73,49
1653100989-337,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Chijoke Nnamdi Akuneto,,,28,11,7,1,-,-,100,85,40
1653101445-503,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Jarrod Bowen,,,35,12,12,6,-,-,89,87,41
1653101223-423,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Jimmy Marín,,,20,3,3,1,-,-,64,63,20
1653101373-478,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Remzifaik Selmani,,,32,15,7,5,-,-,94,89,52
1653101500-524,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Conor McMenamin,,,2,-,1,-,-,-,33,37,13
1653101014-346,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Paulinho,,,29,11,7,10,-,-,79,78,25
1653101108-381,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Ronaldo Araya,,,19,5,6,4,-,-,86,71,24
1653101158-399,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Jason Cummings,,,20,10,6,2,-,-,95,86,38
1653101543-541,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Ilija Spasojević,,,34,23,4,2,-,-,100,91,47
1653101043-357,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Dorian Babunski,,,16,4,1,2,-,-,88,85,33
1653101193-412,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Willian Popp,,,29,15,4,7,-,-,97,94,41
1653101307-453,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Charles De Ketelaere,,,5,-,-,-,-,-,100,95,0
1653101490-520,https://www.transfermarkt.co.uk/meisteeinsaetze/topscorer/statistik/2021/art//saison_id/2021/altersklasse//ausrichtung//spielerposition_id/0/land_id/0/filter/0/plus/1,Yann Mabella,,,28,17,8,4,-,-,90,90,45
